gemeenteId;provincieId;taalCodeProvincieNaam;provincieNaam
128;2;fr;Brabant-Flamand
129;2;nl;Vlaams-Brabant
129;2;fr;Brabant-Flamand
130;2;nl;Vlaams-Brabant
130;2;fr;Brabant-Flamand
131;2;nl;Vlaams-Brabant
131;2;fr;Brabant-Flamand
132;2;nl;Vlaams-Brabant
132;2;fr;Brabant-Flamand
133;2;nl;Vlaams-Brabant
133;2;fr;Brabant-Flamand
134;2;nl;Vlaams-Brabant
134;2;fr;Brabant-Flamand
135;2;nl;Vlaams-Brabant
135;2;fr;Brabant-Flamand
136;2;nl;Vlaams-Brabant
136;2;fr;Brabant-Flamand
137;2;nl;Vlaams-Brabant
137;2;fr;Brabant-Flamand
138;2;nl;Vlaams-Brabant
138;2;fr;Brabant-Flamand
139;2;nl;Vlaams-Brabant
139;2;fr;Brabant-Flamand
140;2;nl;Vlaams-Brabant
140;2;fr;Brabant-Flamand
141;2;nl;Vlaams-Brabant
141;2;fr;Brabant-Flamand
142;2;nl;Vlaams-Brabant
142;2;fr;Brabant-Flamand
143;2;nl;Vlaams-Brabant
143;2;fr;Brabant-Flamand
144;2;nl;Vlaams-Brabant
144;2;fr;Brabant-Flamand
145;2;nl;Vlaams-Brabant
145;2;fr;Brabant-Flamand
146;2;nl;Vlaams-Brabant
146;2;fr;Brabant-Flamand
147;2;nl;Vlaams-Brabant
147;2;fr;Brabant-Flamand
148;2;nl;Vlaams-Brabant
148;2;fr;Brabant-Flamand
149;2;nl;Vlaams-Brabant
149;2;fr;Brabant-Flamand
150;2;nl;Vlaams-Brabant
150;2;fr;Brabant-Flamand
151;2;nl;Vlaams-Brabant
151;2;fr;Brabant-Flamand
152;2;nl;Vlaams-Brabant
152;2;fr;Brabant-Flamand
153;2;nl;Vlaams-Brabant
153;2;fr;Brabant-Flamand
154;2;nl;Vlaams-Brabant
154;2;fr;Brabant-Flamand
155;3;nl;Waals-Brabant
155;3;fr;Brabant Wallon
156;3;nl;Waals-Brabant
156;3;fr;Brabant Wallon
157;3;nl;Waals-Brabant
157;3;fr;Brabant Wallon
158;3;nl;Waals-Brabant
158;3;fr;Brabant Wallon
159;3;nl;Waals-Brabant
159;3;fr;Brabant Wallon
160;3;nl;Waals-Brabant
160;3;fr;Brabant Wallon
161;3;nl;Waals-Brabant
161;3;fr;Brabant Wallon
162;3;nl;Waals-Brabant
162;3;fr;Brabant Wallon
163;3;nl;Waals-Brabant
163;3;fr;Brabant Wallon
164;3;nl;Waals-Brabant
164;3;fr;Brabant Wallon
165;3;nl;Waals-Brabant
165;3;fr;Brabant Wallon
166;3;nl;Waals-Brabant
166;3;fr;Brabant Wallon
167;3;nl;Waals-Brabant
167;3;fr;Brabant Wallon
